"id","name","name"
"CI13238","Candido Mendes","Brazil"
"CI13239","Segou","Benin"
"CI13241","Angara-Debou","Benin"
"CI13242","Mirangaba","Brazil"
"CI13244","Arroio Grande","Brazil"
"CI13246","Itapaci","Brazil"
"CI13248","Cesario Lange","Brazil"
"CI13250","Sao Jose da Coroa Grande","Brazil"
"CI13254","Campos Belos","Brazil"
"CI13256","Reriutaba","Brazil"
"CI13259","Senges","Brazil"
"CI13260","Dahe","Benin"
"CI13261","Belo Campo","Brazil"
"CI13269","Jussara","Brazil"
"CI13270","Adakplame","Benin"
"CI13271","Piuma","Brazil"
"CI13273","Carire","Brazil"
"CI13279","Aracoiaba","Brazil"
"CI13285","Baependi","Brazil"
"CI13286","Kouti","Benin"
"CI13292","Godohou","Benin"
"CI13298","Manga","Brazil"
"CI13299","Sao Francisco de Assis","Brazil"
"CI13305","Soklogbo","Benin"
"CI13306","Tremedal","Brazil"
"CI13309","Lissegazoun","Benin"
"CI13310","Beruri","Brazil"
"CI13312","Tres Barras","Brazil"
"CI13317","Sam","Benin"
"CI13320","Santa Vitoria","Brazil"
"CI13322","Solonopole","Brazil"
"CI13323","Peonga","Benin"
"CI13324","Sao Miguel do Tapuio","Brazil"
"CI13330","Mendes","Brazil"
"CI13334","Piacabucu","Brazil"
"CI13335","Dagbe","Benin"
"CI13338","Turmalina","Brazil"
"CI13339","Adohoun","Benin"
"CI13340","Jaicos","Brazil"
"CI13341","Hozin","Benin"
"CI13343","Cruz Machado","Brazil"
"CI13345","Serekali","Benin"
"CI13349","Ibirataia","Brazil"
"CI13352","Takon","Benin"
"CI13353","Antenor Navarro","Brazil"
"CI13362","Ouando","Benin"
"CI13363","Boqueirao","Brazil"
"CI13365","Anadia","Brazil"
"CI13366","Dan","Benin"
"CI13367","Serafina Corea","Brazil"
"CI13368","Agatogba","Benin"
"CI13369","Jacupiranga","Brazil"
"CI13373","Pabegou","Benin"
"CI13374","Arinos","Brazil"
"CI13376","Montanha","Brazil"
"CI13377","Barao do Grajau","Brazil"
"CI13378","Tomboutou","Benin"
"CI13380","Zoudjame","Benin"
"CI13386","Sao Benedito do Rio Preto","Brazil"
"CI13388","Sapeacu","Brazil"
"CI13389","Ouedeme","Benin"
"CI13392","Nao-Me-Toque","Brazil"
"CI13395","Avabodji","Benin"
"CI13396","Cairu","Brazil"
"CI13400","Cipo","Brazil"
"CI13401","Dekanme","Benin"
"CI13402","Itacarambi","Brazil"
"CI13405","Tanque Novo","Brazil"
"CI13407","Jucurutu","Brazil"
"CI13409","Matipo","Brazil"
"CI13413","Varjota","Brazil"
"CI13421","Magalhaes de Almeida","Brazil"
"CI13425","Filadelfia","Brazil"
"CI13427","Pocao de Pedras","Brazil"
"CI13429","Afranio","Brazil"
"CI13430","Semere","Benin"
"CI13431","Nova Era","Brazil"
"CI13432","Tanmpegre","Benin"
"CI13433","Passagem Franca","Brazil"
"CI13435","Regeneracao","Brazil"
"CI13439","Rio Bananal","Brazil"
